web-scraper-order,web-scraper-start-url,Page,Element,Element-href,name,location,length,elevation,route,description,difficulty,rating,participants,tags
"1700575961-54","https://www.alltrails.com/switzerland/bern","","Aeschi bei Spiez - Reichenbach - Niesen - Wimmis","https://www.alltrails.com/trail/switzerland/bern/aeschi-bei-spiez-reichenbach-niesen-wimmis","Aeschi bei Spiez - Reichenbach - Niesen - Wimmis","Aeschi bei Spiez, Bern, Switzerland","34.3 km","1,754 m","Loop","What an incredible mountain bike ride. The path starts in the canton of Bern from Aeschi near Spiez, where you have great views of Lake Thun. The path then goes up on great paths via Reichenbach and circles Niesen to then reach Wimmis. The trail makes a circuit around the mountains of Niesen, Glogghore and Meiehöri. Fantastic panorama all around.","Moderate","5.0","(1)","RunningForestRiverViewsHistoric site"
"1700575964-55","https://www.alltrails.com/switzerland/bern","","Vorderer Tierberg","https://www.alltrails.com/trail/switzerland/bern/vorderer-tierberg","Vorderer Tierberg","Gadmen, Bern, Switzerland","3.1 km","288 m","Out & back","","Moderate","5.0","(1)","BackpackingCampingHikingViewsRockyScrambleSnowNo shade"
"1700575968-56","https://www.alltrails.com/switzerland/bern","","Reutigen - Heitihubel","https://www.alltrails.com/trail/switzerland/bern/reutigen-heitihubel","Reutigen - Heitihubel","Reutigen, Bern, Switzerland","16.3 km","986 m","Loop","This mountain bike tour is located in the Swiss canton of Bern and starts in Reutigen. This municipality is part of the administrative district of Thun. The path goes up to the Heitihubel, a paradise for bikers at 1555 meters above sea level. Very popular place at the entrance of the Simmental. The paths are first-class singing trails. Enjoy the open panorama of Lake Thun.","Hard","5.0","(1)","Mountain bikingBike touringForestViewsWildflowers"
"1700575972-57","https://www.alltrails.com/switzerland/bern","","Langenthal Circular","https://www.alltrails.com/trail/switzerland/bern/langenthal-rundweg","Langenthal Circular","Langenthal, Bern, Switzerland","11.4 km","249 m","Loop","","Moderate","4.0","(1)","Kid friendlyMountain bikingWalkingRunningForestPartially pavedRiverViewsCity walk"
"1700575976-58","https://www.alltrails.com/switzerland/bern","","Biel - Murten - Neuchâtel","https://www.alltrails.com/trail/switzerland/bern/bienne-morat-neuchatel","Biel - Murten - Neuchâtel","Biel/Bienne, Bern, Switzerland","164.5 km","2,106 m","Loop","Beautiful cycle route passing through the lakes of Biel, Murten and Neuchâtel.","Hard","4.1","(2)","Mountain bikingRoad bikingBike touringBird watchingBeachForestLakeRiverWildflowersWildlifeHistoric site"
"1700575981-59","https://www.alltrails.com/switzerland/bern","","Aeschi bei Spiez - Faulensee","https://www.alltrails.com/trail/switzerland/bern/aeschi-bei-spiez-faulensee","Aeschi bei Spiez - Faulensee","Aeschi bei Spiez, Bern, Switzerland","9.2 km","293 m","Loop","This fantastic tour offers you unique views of Lake Thun. The path starts in Aeschi near Spiez in the Swiss canton of Bern and goes via the Seeholzwald on a varied path to Faulensee on the shore of Lake Thun. From there, go back to the starting point via the other side of the forest.","Moderate","4.0","(2)","HikingRunningForestLakeRiverViewsWildflowers"
"1700575984-60","https://www.alltrails.com/switzerland/bern","","Villeret - Chasseral Snowshoeing","https://www.alltrails.com/trail/switzerland/bern/chasseral-en-raquettes","Villeret - Chasseral Snowshoeing","Chasseral Regional Park","18.5 km","1,073 m","Loop","","Hard","5.0","(1)","HikingSnowshoeingDog friendlyForestViews"
"1700575987-61","https://www.alltrails.com/switzerland/bern","","Napf - Hengst - Hopfarni","https://www.alltrails.com/trail/switzerland/bern/napf-hengst-hopfarni","Napf - Hengst - Hopfarni","Fankhaus, Bern, Switzerland","10.5 km","372 m","Out & back","The trail begins in Napf at the mountain station of the Mettlenalp-Napf cable car. Then the trail leads through the forest past some watercourses and then after a few kilometers continuously down you reach the Hofarni peak at 1223m.

This trail can be a bit muddy after a few bad weather days.","Moderate","4.0","(1)","Kid friendlyHikingBird watchingDog friendlyForestPartially pavedRiverViewsWildflowers"
"1700575991-62","https://www.alltrails.com/switzerland/bern","","Oberbipp Rundweg","https://www.alltrails.com/trail/switzerland/bern/oberbipp-rundweg","Oberbipp Rundweg","Oberbipp, Bern, Switzerland","4.3 km","135 m","Loop","","Easy","3.9","(4)","Kid friendlyWalkingRunningForestPartially pavedRiverViewsWildflowersCity walk"
"1700575998-63","https://www.alltrails.com/switzerland/bern","","Burgistein  Circular route","https://www.alltrails.com/trail/switzerland/bern/burgistein-rundweg","Burgistein  Circular route","Burgistein, Bern, Switzerland","9.8 km","314 m","Loop","The trail starts in Burgistein and after about one kilometer you come to Burgistein Castle. The castle was built after 1260 by Jordan I von Thun, the founder of the von Burgistein family. In 1339 the castle was destroyed by the Bernese after the Battle of Laupen.

Then the path leads past Heimenried and Fluhweid and you reach Plötsch in the middle of the small settlement. Then further via Oberelbschen it leads further back to the beginning.","Moderate","5.0","(2)","Kid friendlyHikingRunningDog friendlyForestPartially pavedViewsWildflowersHistoric site"
"1700576001-64","https://www.alltrails.com/switzerland/bern","","Gantrischli Snowshoe trail","https://www.alltrails.com/trail/switzerland/bern/gantrischli-schneeschuhweg","Gantrischli Snowshoe trail","Gantrisch Nature Park","7.1 km","391 m","Loop","The trail leads through the Gantrischli area and through the natural side valley of Sangernboden.
The circular route leads through the lonely, dreamy Muscherental. It starts at the free Murenstöck car park and then climbs directly along the stream past trees and bushes along the mountainside through pastures, over small bridges and light forests up to Spittel Gantrisch.

About halfway you pass the Gantrischli hut, which also houses an alpine cheese dairy. Strengthened, it goes slightly downhill and with an open view of the valley in the direction of Schönenboden.","Moderate","4.5","(2)","Kid friendlyHikingSnowshoeingBird watchingDog friendlyForestRiverViewsWildflowersNo shade"
"1700576006-65","https://www.alltrails.com/switzerland/bern","","Bern - Bielersee - Biel","https://www.alltrails.com/trail/switzerland/bern/bern-lac-de-bienne-bienne","Bern - Bielersee - Biel","Bremgartenwald","31.4 km","692 m","Point to point","The trail begins in Bern at the train station and first leads directly through the city. Then it goes through the Bremgarten forest in the middle of the cultural landscape over fields and past small wooded areas. The best way to explore the tour is by bike and go past the Aarberg after a few more kilometers and then you can already see Lake Biel. A short time later it goes down to Biel/Bienne.","Moderate","4.0","(1)","Dogs on leashRoad bikingBike touringRunningForestLakePavedRiverViewsWildflowersWildlife"
"1700576010-66","https://www.alltrails.com/switzerland/bern","","Lyss - Chasseral - Murten","https://www.alltrails.com/trail/switzerland/bern/lyss-chasseral-murten","Lyss - Chasseral - Murten","Chasseral Regional Park","134.7 km","2,643 m","Loop","","Easy","5.0","(2)","Scenic drivingForestLakeViewsWildlife"
"1700576014-67","https://www.alltrails.com/switzerland/bern","","Mängistorfberg via Herzwil","https://www.alltrails.com/trail/switzerland/bern/mangistorfberg-uber-herzwil","Mängistorfberg via Herzwil","Niederwangen bei Bern, Bern, Switzerland","7.7 km","262 m","Loop","Discover this circular hike in the Bernese Mittelland. It is suitable for the whole family and also for runners. The path leads from Herzwil, on the outskirts of Bern, around the Mängistorfberg and back again. The highest point is 754 meters above sea level. Along the way you can admire several imposing and mostly original farmhouses.","Moderate","4.0","(2)","Kid friendlyHikingRunningForestViewsWildflowersWildlife"
"1700576024-68","https://www.alltrails.com/switzerland/bern","","Lauenen - Stublenipass- Stübleni - Trutlisberg","https://www.alltrails.com/trail/switzerland/bern/lauenen-stublenipass-stubleni-trutlisberg","Lauenen - Stublenipass- Stübleni - Trutlisberg","Lauenen, Bern, Switzerland","15.3 km","910 m","Loop","The path starts in Lauenen and goes up via the Schönenbodenweg and Flueweid to the Stübelenpass. He is at 1992 m above sea level. M .. Then it goes to the summit Stübleni, which is at 2109 m above sea level. M. is and the Trütlisberg, which is at 2075 m above sea level. M. lies. From there it goes down to the Vordere Trütlisberg and via Flueweid to the starting point.","Hard","4.6","(2)","HikingRunningForestRiverViewsWildflowers"
"1700576028-69","https://www.alltrails.com/switzerland/bern","","Spiez - Rustwald Circular","https://www.alltrails.com/trail/switzerland/bern/spiez-rustwald-rundweg","Spiez - Rustwald Circular","Spiez, Bern, Switzerland","6.9 km","163 m","Loop","This path invites one to run and walk and also to have some views of Lake Thun ready. It starts at a parking lot at the Gesigen shooting range and then soon heads in the direction of the Rustwald forest and then makes a circular tour on small paths. A relaxed tour through nature. 

This trail can be a bit muddy after a few bad weather days.","Easy","5.0","(2)","Kid friendlyWalkingRunningForestLakePartially pavedViews"
"1700576031-70","https://www.alltrails.com/switzerland/bern","","Ueschinenhütte - Tschingellochtighorn - Schwarzgrätli","https://www.alltrails.com/trail/switzerland/bern/ueschinenhutte-tschingellochtighorn-engstligengrat-schwarzgratli-sunnbuel","Ueschinenhütte - Tschingellochtighorn - Schwarzgrätli","Pfyn-Finges Nature Park","11.9 km","891 m","Point to point","Ueschinenhütte - Tschingellochtighorn - Engstligengrat - Schwarzgrätli - Sunnbüel

This trail leads from the Ueschinenhütte over three mountain peaks and through open terrain down to Kandersteg.

The descent into the valley can be shortened by taking the Kandersteg Sunnbüel cable car.

It is recommended to check the website beforehand, as fees may apply or opening hours must be observed: https://sunnbuel.ch/en/","Hard","5.0","(1)","BackpackingHikingBird watchingDog friendlyForestViewsWildflowersWildlifeFee"
"1700576035-71","https://www.alltrails.com/switzerland/bern","","Schüpfen - Grächwil - Meikirch - Möriswil - Wohlen - Hinterkappelen","https://www.alltrails.com/trail/switzerland/bern/schupfen-grachwil-meikirch-moriswil-wohlen-hinterkappelen","Schüpfen - Grächwil - Meikirch - Möriswil - Wohlen - Hinterkappelen","Schüpfen, Bern, Switzerland","15.9 km","369 m","Point to point","This great hike is located in Kantojn Bern and starts in Schüpfen in Seeland. The route goes to Grächwil, Meikirch, Möriswil, Wohlen near Bern and ends in Hinterkappelen. When you arrive, enjoy the Aare River, a great place for swimming in summer but also for other things to simply enjoy.","Moderate","4.1","(2)","HikingRunningForestRiverViewsWildflowers"
"1700576040-72","https://www.alltrails.com/switzerland/bern","","Blankenburg - Ried via Zweisimmen","https://www.alltrails.com/trail/switzerland/bern/blankenburg-ried-via-zweisimmen","Blankenburg - Ried via Zweisimmen","Blankenburg, Bern, Switzerland","11.7 km","637 m","Loop","This circular route starts in Blankenburg at the train station and soon leads to the Simme river. Then it continues further in the direction of the small village of Ried. One walks through a part of the Obersimmental valley with a view of the Moosbachgrabe hills and the Moosbach stream. The path follows back to Blankenburg via Zweisimmen.","Moderate","4.5","(2)","HikingRunningForestRiverWildflowersHistoric site"
"1700576044-73","https://www.alltrails.com/switzerland/bern","","Spiez - Diemtigtal - Grübenwald - Darstetten","https://www.alltrails.com/trail/switzerland/bern/spiez-diemtigtal-grubenwald-darstetten","Spiez - Diemtigtal - Grübenwald - Darstetten","Diemtigtal Nature Park","81.1 km","2,361 m","Loop","","Hard","5.0","(2)","Mountain bikingBike touringForestLakeRiverViewsWildflowers"
"1700576048-74","https://www.alltrails.com/switzerland/bern","","Oberdiessbach - Linden","https://www.alltrails.com/trail/switzerland/bern/oberdiessbach-linden","Oberdiessbach - Linden","Oberdiessbach, Bern, Switzerland","5.1 km","326 m","Point to point","The route starts at Oberdiessbach, a municipality part of the Bern-Mittelland administrative district in the canton of Bern in Switzerland. The path goes via Perschwand to Linden. This community is located at 916 meters above sea level. Most of the route is on the road and can therefore also be done by bike.","Moderate","4.0","(2)","HikingRoad bikingBike touringRunningForestRiverViewsWildflowersHistoric site"
"1700576051-75","https://www.alltrails.com/switzerland/bern","","Lenk - L'Etivaz via Via Alpina","https://www.alltrails.com/trail/switzerland/bern/lenk-l-etivaz","Lenk - L'Etivaz via Via Alpina","Lenk im Simmental, Bern, Switzerland","37.7 km","2,132 m","Point to point","This is a demanding hike to be done in one or more days and it takes place on the Via Alpina. It is not an official segment of the Via Alpina but it connects the city of Lenz and l'Etivaz, at the gates of the Gruyère Pays-d'Enhaut Regional Nature Park. From here there are many different paths to explore within this beautiful park.","Hard","5.0","(1)","BackpackingHikingRunningForestPartially pavedRiverViewsWaterfallWildflowers"
"1700576054-76","https://www.alltrails.com/switzerland/bern","","Axalp  - Grätli","https://www.alltrails.com/trail/switzerland/bern/axalp-gratli","Axalp  - Grätli","Axalp, Bern, Switzerland","6.6 km","784 m","Point to point","The path begins at the Windegg valley station in Axalp and then leads through the countryside. You then come through open terrain across meadows to the top of the Grätli at 2200m. Then you follow the ridge to the mountain station of the Tschingellift, which we can use to drive down to the parking lot.

It is recommended to find out more on the website beforehand, as fees may apply or opening hours must be observed: https://www.axalp.ch/winter/%C3%Böffungenzeiten/","Hard","5.0","(1)","HikingRunningForestViewsWildflowersWildlifeNo shade"
